call,slice_b,n_valid,top2_frac
161,0,5180,0.991223
162,0,5180,0.991223
163,0,5180,0.991223
164,0,5180,0.991223
165,0,5180,0.991223
166,0,5180,0.991223
167,0,5180,0.991223
168,0,5180,0.991223
169,0,5180,0.991223
170,0,5180,0.991223
171,0,5180,0.991223
172,0,5180,0.991223
173,0,5180,0.991222
174,0,5180,0.991221
175,0,5180,0.991219
176,0,5180,0.991216
177,0,5180,0.991212
178,0,5180,0.991208
179,0,5180,0.991206
180,0,5180,0.991205
181,0,5180,0.991200
182,0,5180,0.991207
183,0,5180,0.991212
184,0,5180,0.991204
185,0,5180,0.991208
186,0,5180,0.991210
187,0,5180,0.991209
188,0,5180,0.991214
189,0,5180,0.991219
190,0,5180,0.991215
191,0,5180,0.991218
192,0,5180,0.991222
193,0,5180,0.991221
194,0,5180,0.991221
195,0,5180,0.991228
196,0,5180,0.991236
197,0,5180,0.991240
198,0,5180,0.991253
199,0,5180,0.991273
200,0,5180,0.991256
201,0,4946,0.990841
202,0,4946,0.990842
203,0,4946,0.990843
204,0,4946,0.990844
205,0,4946,0.990846
206,0,4946,0.990847
207,0,4946,0.990849
208,0,4946,0.990849
209,0,4946,0.990850
210,0,4946,0.990851
211,0,4946,0.990851
212,0,4946,0.990852
213,0,4946,0.990853
214,0,4946,0.990854
215,0,4946,0.990855
216,0,4946,0.990854
217,0,4946,0.990855
218,0,4946,0.990855
219,0,4946,0.990859
220,0,4946,0.990863
221,0,4946,0.990866
222,0,4946,0.990869
223,0,4946,0.990872
224,0,4946,0.990875
225,0,4946,0.990878
226,0,4946,0.990876
227,0,4946,0.990871
228,0,4946,0.990867
229,0,4946,0.990862
230,0,4946,0.990859
231,0,4946,0.990854
232,0,4946,0.990853
233,0,4946,0.990856
234,0,4946,0.990855
235,0,4946,0.990859
236,0,4946,0.990860
237,0,4946,0.990868
238,0,4946,0.990876
239,0,4946,0.990877
240,0,4946,0.990884
241,0,4946,0.990893
242,0,4946,0.990895
243,0,4946,0.990904
244,0,4946,0.990911
245,0,4946,0.990918
246,0,4946,0.990919
247,0,4946,0.990908
248,0,4946,0.990912
249,0,4946,0.990904
250,0,4946,0.990911
251,0,2037,0.991453
252,0,2037,0.991454
253,0,2037,0.991455
254,0,2037,0.991457
255,0,2037,0.991459
256,0,2037,0.991461
257,0,2037,0.991462
258,0,2037,0.991462
259,0,2037,0.991464
260,0,2037,0.991465
261,0,2037,0.991464
262,0,2037,0.991462
263,0,2037,0.991459
264,0,2037,0.991456
265,0,2037,0.991451
266,0,2037,0.991447
267,0,2037,0.991444
268,0,2037,0.991446
269,0,2037,0.991455
270,0,2037,0.991457
271,0,2037,0.991459
272,0,2037,0.991460
273,0,2037,0.991461
274,0,2037,0.991459
275,0,2037,0.991466
276,0,2037,0.991476
277,0,2037,0.991482
278,0,2037,0.991485
279,0,2037,0.991482
280,0,2037,0.991481
281,0,2037,0.991475
282,0,2037,0.991466
283,0,2037,0.991464
284,0,2037,0.991468
285,0,2037,0.991472
286,0,2037,0.991476
287,0,2037,0.991490
288,0,2037,0.991502
289,0,2037,0.991510
290,0,2037,0.991519
291,0,2037,0.991536
292,0,2037,0.991549
293,0,2037,0.991559
294,0,2037,0.991587
